util_linhas_inseguras_limitada,vezes_passou_de_30_59_dias,razao_debito_limitada,numero_linhas_crdto_aberto,numero_vezes_passou_90_dias,numero_emprestimos_imobiliarios,numero_de_vezes_que_passou_60_89_dias,faixa_etaria,grupo_dependentes,grupo_salarial
0.025848708,0,0.081774844,3,0,2,0,10,0,3
0.6670832289999999,0,0.153112222,3,0,0,0,9,0,1
0.007092527,0,0.1488,20,0,1,0,7,0,3
0.091212944,0,0.35163531600000003,15,0,1,1,9,0,3
0.112679702,0,0.06595941,3,0,0,0,9,0,1
0.323985404,0,0.352150538,8,0,2,0,6,2,3
0.0072998540000000015,0,0.002288853,2,0,0,0,10,0,2
0.0,1,0.261610817,4,0,0,0,10,0,1
0.062279783,0,0.406667092,14,1,3,0,9,0,4
0.479899327,1,0.209902867,6,0,3,0,6,0,3
0.040262851,0,2.0,7,0,2,0,8,0,1
0.843405402,1,0.592719888,5,0,2,0,9,1,3
0.012197533,0,2.0,17,0,1,0,10,0,5
0.001346024,0,0.0,2,0,0,0,10,1,1
0.964023984,0,0.059348837,9,1,0,0,6,0,3
0.594159456,1,1.648362507,19,0,5,0,10,0,3
0.193098651,0,0.402775101,7,0,2,0,10,0,3
0.142581923,0,0.082849252,22,0,0,0,10,0,3
0.8155511120000001,1,2.0,5,3,2,1,8,4,5
0.021974732,0,0.278103492,8,0,1,0,10,0,2
0.069206769,0,2.0,8,0,3,0,8,0,5
0.679730033,0,2.0,13,0,0,0,6,0,5
0.03195895,0,0.00939812,5,0,0,0,10,2,3
0.115360102,0,2.0,6,0,1,0,10,0,0
0.9999999,0,2.0,2,5,1,0,6,0,5
0.463463272,0,0.407847082,12,0,1,0,8,0,3
0.385941521,0,0.238935821,5,0,1,0,10,2,3
0.210206778,0,0.302714363,11,0,1,0,9,0,3
0.025593285,0,0.335381522,10,0,1,0,7,2,3
0.031275265,0,0.3854166670000001,9,0,1,0,8,0,2
0.021943625,0,0.043182727,15,0,1,0,10,0,2
0.017425167,0,0.8931593790000001,11,0,2,0,9,0,2
0.001496395,4,0.492458005,8,1,1,3,6,0,3
0.525306395,0,0.127467105,6,0,0,0,5,3,3
0.186146156,0,0.532410244,7,0,2,0,4,0,3
0.196758683,0,2.0,8,0,3,0,10,0,5
0.022846024,0,0.075768614,7,0,1,0,10,0,3
0.457100576,0,2.0,9,0,1,0,10,0,5
0.0,0,2.0,4,0,1,0,10,0,5
0.107923781,0,0.343041203,14,0,2,0,7,1,3
0.188842147,0,2.0,6,0,1,0,9,0,5
0.071393361,0,2.0,8,0,1,0,10,0,5
0.009057006,0,2.0,4,0,0,0,10,0,5
0.190081662,0,0.075886843,8,0,0,0,10,0,3
0.713313484,0,2.0,4,0,1,0,8,0,5
0.026774331,0,0.128515425,3,0,1,0,8,0,3
0.18851756600000005,3,0.817720351,16,0,3,2,10,0,3
0.9999999,1,0.091191174,4,0,0,0,5,3,3
0.0,1,0.223186265,6,0,1,0,10,1,3
0.165751474,0,0.109831235,4,0,0,0,7,0,2
0.016674508,0,1.403544649,19,0,2,0,9,0,2
0.44596953,0,2.0,11,0,1,0,9,0,5
0.026803597,0,2.0,11,0,0,0,10,0,5
0.022933674,0,0.30052803100000003,8,0,2,0,8,0,3
0.054887623,0,0.142308615,16,0,0,0,8,0,2
0.000113819,0,0.17657082,8,0,1,0,10,0,3
0.093429188,0,2.0,8,0,2,0,5,0,1
0.079321709,0,0.022127433,3,0,0,0,10,0,2
0.040244363,2,0.27441622600000004,17,0,2,0,10,1,3
0.009140716,0,0.027105088,11,0,0,0,10,0,3
0.010217705,0,0.003331113,5,0,0,0,10,1,2
0.6865150259999999,0,0.309281786,11,0,0,0,10,1,3
0.066789741,0,0.037913507,4,0,1,0,9,1,4
0.9999999,0,0.0,0,0,0,0,6,0,5
0.626981331,2,2.0,7,0,1,0,7,0,5
0.014022028999999998,0,2.0,9,0,1,0,10,4,5
0.011713951,0,0.181363699,6,0,0,0,9,0,3
0.9999999,0,0.0,0,0,0,0,9,4,5
0.182710086,0,0.028994201,15,0,0,0,8,0,3
0.022794657000000003,0,0.879109226,15,0,5,0,8,2,3
0.058241061,0,2.0,3,0,0,0,10,4,5
0.20024279600000006,0,0.25620028100000003,6,0,0,0,10,0,2
0.9999999,0,0.539697354,12,0,5,0,7,0,4
0.179847652,0,0.029359859,3,0,0,0,5,0,3
0.06181292,1,0.528624767,17,0,1,0,10,0,2
0.719017413,0,0.244023083,9,0,2,0,9,1,3
0.952488964,0,0.34040640200000005,10,0,0,0,7,3,3
1.005712654,1,2.0,7,0,0,0,2,0,5
0.014271373,0,0.404897245,6,0,1,0,9,2,3
0.59045152,1,2.0,7,0,1,0,9,1,0
0.19381766,2,0.195315252,8,0,1,0,5,0,3
0.05168249,0,0.007358953,5,0,0,0,10,0,2
0.003363534,0,0.000586396,4,0,0,0,8,0,3
0.006739541,0,0.148370326,6,0,1,0,10,0,3
0.851882962,1,0.378373889,13,0,2,0,7,1,4
0.242150295,0,0.830939227,21,0,1,0,10,0,2
0.024576473,0,0.19477403,12,0,1,0,10,2,3
0.9999999,0,2.0,4,0,1,0,10,0,5
0.296724621,0,0.384670487,13,0,2,0,9,1,3
0.028210996,0,2.0,3,0,0,0,5,0,5
0.205034718,0,0.407417507,8,0,3,0,8,1,3
0.244197674,0,2.0,4,0,1,0,6,2,1
0.5994079920000001,8,0.427367519,13,6,2,3,10,0,3
0.005627802,0,0.232602845,15,0,0,0,10,0,2
0.60369641,1,0.408397901,5,0,1,0,6,3,2
0.043186305,0,0.17134286199999998,8,0,1,0,7,3,3
