util_linhas_inseguras_limitada,vezes_passou_de_30_59_dias,razao_debito_limitada,numero_linhas_crdto_aberto,numero_vezes_passou_90_dias,numero_emprestimos_imobiliarios,numero_de_vezes_que_passou_60_89_dias,faixa_etaria,grupo_dependentes,grupo_salarial,inadimplente
0.115188735,0,0.29269003,20,0,2,0,7,2,3,0
0.9999999,0,0.275538287,3,0,1,0,5,0,3,0
0.230951241,0,0.394874782,12,0,1,0,7,3,3,0
0.9999999,0,0.36662593,4,0,1,0,9,1,3,0
0.019272026,0,2.0,4,0,1,0,9,0,0,0
0.008251423,0,0.001055966,4,0,0,0,7,1,3,0
0.9999999,0,0.0,1,0,0,0,10,0,0,0
0.9999999,0,2.0,1,1,0,0,9,0,0,0
0.598557828,0,0.604674291,13,0,1,0,10,1,2,0
0.392686927,0,0.367235633,16,0,1,0,8,3,3,0
0.15266275199999998,0,0.195920272,7,0,1,0,5,1,4,0
0.337986139,0,0.330733463,13,0,1,0,7,0,3,0
0.34965035,0,0.0068917990000000005,1,0,0,0,2,0,1,0
0.0,0,2.0,14,0,0,0,9,2,0,0
0.707967283,0,0.465534466,3,0,0,0,3,2,1,0
0.434418409,2,0.234648747,13,0,2,0,10,0,5,0
0.170572565,0,0.159903341,5,0,1,0,10,2,4,0
0.033741501,0,0.230452322,11,0,1,0,10,2,4,0
0.00195284,0,0.185090745,15,0,1,0,8,3,3,0
0.008523814000000001,0,0.096301233,28,0,0,0,10,0,2,0
0.0,0,0.422680412,8,0,1,0,8,1,2,0
0.9999999,0,0.067224547,1,0,0,0,8,0,2,0
0.031256607,0,0.08277573099999999,18,0,0,0,10,1,4,0
0.435019209,0,0.575395915,23,0,0,0,7,2,2,1
1.033611442,0,0.707085464,5,4,0,3,4,2,1,1
0.0,0,0.102140582,11,0,1,0,9,0,4,0
0.037579433,0,2.0,6,0,1,0,10,0,0,0
0.76185831,0,0.387801743,3,0,1,0,6,3,3,0
0.0,0,0.0,3,0,0,0,10,0,0,0
0.011932538,0,0.422766849,8,0,1,0,5,1,2,0
0.412097584,1,1.087117966,20,0,2,0,10,0,2,0
0.414599529,0,0.201266245,2,0,0,0,5,2,2,0
0.471001567,0,2.0,3,0,0,0,10,0,0,0
0.877124547,1,0.389627295,11,0,2,0,9,2,4,0
0.298668648,0,0.35516784,10,0,2,0,7,2,3,0
0.083823091,0,2.0,4,0,0,0,5,0,0,0
0.123388829,0,0.335375191,4,0,2,0,7,0,4,0
0.101736973,0,2.0,12,0,2,0,10,1,0,0
0.8816647559999999,0,0.291712953,5,0,0,0,5,1,3,0
0.127277463,0,0.304017372,9,0,0,0,5,0,1,0
0.7624861270000001,2,0.117965479,16,0,0,0,9,0,3,1
1.055962692,1,0.364059718,6,0,1,0,5,0,3,1
0.005422758000000001,0,0.292925114,15,0,2,0,4,0,3,0
0.447934663,0,2.0,8,0,1,0,8,0,0,0
0.535636781,0,0.580756807,12,0,1,0,3,0,2,0
0.698550242,0,0.07899041799999999,3,0,0,0,3,0,2,0
0.080588939,0,0.4916666670000001,5,0,1,0,10,0,1,0
0.027279253,0,2.0,4,0,1,0,6,3,0,0
0.9999999,5,0.443625946,8,1,1,1,8,0,3,1
0.9999999,0,0.107451581,5,0,1,0,6,3,5,0
0.02147771,0,0.016029923,7,0,0,0,10,0,2,0
0.9999999,0,0.603396603,3,0,0,0,3,0,1,0
0.027864285,0,0.254301075,2,0,0,0,7,0,1,0
0.008458853,0,0.084583083,7,0,1,0,10,0,3,0
0.295409182,1,2.0,3,0,0,0,5,0,0,1
0.047678729,0,0.00529947,3,0,0,0,10,1,3,0
1.015305602,2,2.0,9,0,0,0,6,1,0,0
0.072977367,0,0.361910995,8,0,1,0,10,0,3,0
0.6776396,3,0.303913405,7,0,0,0,3,1,1,0
0.31797894600000004,0,0.321355987,12,0,2,0,10,0,4,0
0.31309339,0,1.64846981,8,0,1,0,9,0,2,0
0.412755691,0,0.585379361,18,0,2,0,8,1,3,0
0.061226922,0,0.4716,24,0,6,0,5,2,3,0
0.663885973,1,2.0,7,0,1,0,8,0,0,0
0.016242123,0,0.004154765,2,0,0,0,10,0,2,0
0.231768232,0,0.005906406,2,0,0,0,5,0,1,0
0.6493577629999999,0,0.651236962,16,0,4,0,9,1,4,0
0.9999999,0,0.0,2,0,0,0,5,0,0,0
0.7180650959999999,0,0.736313184,10,0,2,0,9,2,3,0
0.70651862,0,0.978609626,15,0,1,0,7,0,2,0
0.020628866000000003,0,2.0,1,0,0,0,10,0,0,0
0.885556006,0,0.198429693,1,0,0,0,9,0,1,0
0.022649996,0,0.6272426010000001,11,0,3,0,10,1,3,0
0.369404521,0,0.445922782,13,0,2,0,6,3,4,0
0.02133301,0,2.0,9,0,1,0,10,0,0,0
0.443804496,0,0.121433797,4,0,0,1,7,1,2,0
0.0,0,0.164417791,2,0,0,0,3,0,1,0
0.9999999,98,0.0,0,98,0,98,8,0,2,0
0.0,0,0.0,4,0,0,0,10,0,2,0
0.061746913,0,2.0,7,0,0,0,10,0,0,0
0.887312525,0,0.158343484,2,0,0,0,3,0,1,0
0.189734189,0,0.04587156,2,0,0,0,10,0,2,0
0.090396987,0,0.007231497,4,0,0,0,10,1,4,0
0.069832685,1,0.202960923,13,0,2,0,9,3,4,0
0.16219615699999998,0,0.496417264,8,0,1,0,6,1,3,0
0.007621121,0,0.214958662,9,0,1,0,8,1,3,0
0.273090906,0,0.10457442,9,0,0,0,10,0,3,0
0.91541509,0,0.359602605,9,0,2,0,9,1,4,0
0.015512742,0,0.309889325,11,0,1,0,7,3,2,0
0.0119994,0,0.190587684,3,0,1,0,9,0,4,0
0.091341088,0,2.0,4,0,1,0,7,0,0,0
0.0,2,0.462647869,10,0,1,0,6,2,3,0
0.054302606,0,0.482233503,13,0,3,0,7,1,3,0
0.224817226,0,2.0,5,0,0,0,7,0,0,0
0.030980692,0,0.167583242,3,0,1,0,8,1,3,0
0.6053330929999999,3,0.01928846,11,1,1,0,10,0,5,0
0.8330206379999999,0,0.6484258820000001,18,0,8,0,9,0,5,1
0.167937521,0,0.7939819090000001,7,0,1,0,5,1,3,0
0.0,0,0.0,3,0,0,0,3,0,0,0
0.0,0,2.0,5,0,0,0,10,0,0,0
0.065125927,0,2.0,4,0,1,0,10,0,0,0
0.7504990020000001,0,0.009159034,1,0,0,0,2,0,1,0
0.19026991,0,0.002889191,3,0,0,0,3,0,3,0
0.459082445,0,0.62715691,9,0,3,0,8,0,3,0
0.257432342,0,0.6942433640000001,11,0,1,0,9,0,2,0
0.410478603,1,0.109578084,5,0,0,0,3,0,3,0
0.9999999,0,0.0,0,2,0,1,6,1,2,1
0.056486171,1,0.001321944,1,0,0,0,10,0,3,0
0.103290843,1,0.101199874,10,0,1,0,8,0,3,1
0.243086243,0,0.393114936,11,0,0,0,8,1,1,0
1.115884116,0,0.517814288,5,0,1,0,6,2,3,1
0.8229094370000001,0,0.313834852,9,0,0,0,7,1,3,0
0.978936094,0,0.146411908,13,0,0,0,10,0,3,0
0.027806559,0,0.421596401,6,0,2,0,5,3,3,0
0.96394874,2,0.205964823,9,0,0,0,4,3,3,0
0.059681656,2,0.097451274,6,0,0,0,5,1,1,0
0.0,0,0.00762987,5,0,0,0,10,0,3,0
0.299128613,0,0.209368123,2,0,0,0,10,0,2,0
0.018105973,0,2.0,7,0,0,0,10,0,0,0
0.624234712,0,0.5236920039999999,8,0,1,0,7,0,3,0
0.901475488,1,0.045795171,2,0,0,0,4,1,1,0
0.366258771,0,0.7738065479999999,12,0,2,0,8,1,2,0
0.509412606,0,0.426333953,11,0,2,0,10,0,4,0
0.725458899,0,0.395323741,8,0,0,0,4,3,2,0
0.0,0,2.0,6,0,1,0,10,0,0,0
0.924415117,0,0.274227423,6,0,0,0,5,3,2,0
0.151479835,0,0.105298234,7,0,0,0,10,0,2,0
0.877958192,0,0.520456629,6,0,1,0,7,2,4,0
1.017777778,1,0.491233766,6,0,0,0,9,1,2,0
0.680463907,2,0.260028653,7,0,1,2,7,0,3,0
0.007338946,0,0.147823629,9,0,0,0,10,0,3,0
0.9999999,0,2.0,1,0,0,0,6,0,0,0
0.7039296070000001,0,0.176030866,2,0,0,0,8,0,2,0
0.082076055,0,0.7798991,22,0,4,0,10,1,3,0
0.143480849,0,2.0,18,0,4,0,8,0,0,0
0.023873046,0,0.15869878699999998,7,0,2,0,9,2,4,0
0.56058715,1,0.35712816299999994,10,0,0,0,7,1,3,0
0.330820706,0,0.141502179,4,0,0,0,3,1,2,0
0.143418166,0,0.5772109360000001,21,0,2,0,6,2,3,0
0.01752735,0,0.141161774,5,0,0,0,6,1,1,0
0.0,0,2.0,7,0,1,0,10,0,1,0
0.552453977,0,0.801770923,9,0,2,0,5,0,2,0
0.9999999,98,2.0,0,98,0,98,6,0,0,1
0.0,0,0.0,4,0,0,0,3,0,1,1
0.010743358,0,0.228428809,6,0,1,0,9,0,2,0
0.455142176,0,0.360682154,10,0,2,0,10,3,3,0
0.013997201,0,0.412917417,4,0,1,0,4,0,3,0
0.001809151,0,0.367037989,6,0,1,0,9,0,2,0
0.035042113,0,0.09597268,18,0,0,0,9,0,3,1
0.199382051,0,2.0,5,0,1,0,4,0,0,0
0.464107179,0,0.441281139,2,0,1,0,8,2,3,0
0.000571408,0,0.126449531,4,0,2,0,10,1,3,0
0.033237299,0,0.118470382,5,0,0,0,10,0,2,0
0.023495337,0,0.119750214,12,0,2,0,7,1,3,0
0.9999999,0,2.0,1,0,1,0,10,0,0,0
0.191739119,5,0.589037123,19,0,2,0,9,0,3,0
1.4304915269999998,2,0.546755468,10,0,2,0,5,2,4,0
0.046917949,0,2.0,9,0,1,0,10,0,0,0
0.138215446,0,0.20127317,5,0,1,0,10,0,3,0
0.039904002,0,0.00751333,4,0,0,0,10,0,3,0
0.092709871,0,2.0,6,0,2,0,9,0,0,0
0.0,0,0.348777551,9,0,5,0,10,0,4,0
0.497284561,0,0.357561793,13,0,2,0,9,1,3,0
0.263312891,0,1.289066667,15,0,0,0,10,0,1,0
0.923415317,0,0.693461058,9,1,2,1,7,3,2,0
0.236082863,0,2.0,15,0,2,0,10,0,0,0
0.000994453,0,0.000377074,8,0,0,0,8,0,2,0
0.0,0,2.0,4,0,0,0,10,0,0,0
0.278636121,0,0.439433409,8,0,2,0,8,1,3,0
0.320804188,0,0.230994152,23,0,0,0,10,0,3,0
0.092989328,0,2.0,8,0,1,1,7,0,0,0
0.429074007,0,0.382651492,17,0,0,0,4,0,2,0
0.932441351,3,2.0,7,0,0,0,9,0,1,1
0.492149352,0,0.137156411,7,0,0,0,10,3,3,0
0.141916664,0,2.0,11,0,1,0,10,0,0,0
0.33758071,0,0.6906546729999999,6,0,1,0,6,1,1,0
0.798967825,0,2.0,3,0,0,0,3,0,0,0
0.16279186,0,2.0,6,0,1,0,7,0,0,0
0.9999999,0,0.48492699,4,0,2,0,6,0,2,0
0.0,0,1.788169464,6,0,2,0,5,1,1,0
0.7685367740000001,0,2.0,17,0,1,1,10,2,0,0
0.589131751,0,2.0,3,0,0,0,5,0,0,0
0.176443529,0,0.182522829,15,0,2,0,10,0,3,0
0.034215189,1,0.648188145,10,0,1,0,6,1,2,0
0.03664216,0,2.0,10,0,2,0,9,0,0,0
0.006890981,0,0.260434891,7,0,1,0,10,0,2,0
0.08577296699999999,0,0.018238541,4,0,0,0,9,0,3,0
0.282830207,0,0.098048702,5,1,0,0,3,1,3,0
0.968512736,0,2.0,12,0,2,0,9,1,0,0
0.68032437,0,0.216055644,9,0,0,0,6,2,3,0
0.08736588599999999,0,2.0,3,0,1,0,7,1,0,0
0.788844622,3,0.164432285,4,1,0,0,8,0,2,1
0.113293741,0,2.0,11,0,0,0,6,2,1,0
0.091750911,0,0.205097087,10,0,2,0,10,0,4,0
0.329716994,0,0.747126437,9,0,1,0,10,0,2,0
0.794311717,0,0.507859551,26,0,6,0,10,2,5,0
0.02176559,0,2.0,7,0,0,0,10,0,0,0
0.032972317,0,0.009086216,9,0,0,0,10,0,3,0
0.986576568,0,0.237105158,10,0,0,0,3,0,2,0
0.000835146,0,0.049130058,6,0,1,0,10,2,4,0
0.031949201,0,0.008603124,3,0,0,0,10,0,3,0
0.9999999,0,0.7237932020000001,3,2,2,1,4,0,2,0
0.174156991,0,1.036988111,7,0,1,0,4,0,3,0
0.113078821,0,2.0,12,0,1,0,10,0,0,0
0.543909182,0,0.117788221,12,0,0,0,10,0,3,0
0.524744555,1,0.227128812,6,0,1,0,9,1,3,0
0.06284116,0,0.279480037,8,0,2,0,10,0,4,0
0.45286532,0,0.195234435,2,0,0,0,3,0,1,0
0.06158768200000001,1,0.368909513,9,0,1,0,7,0,3,0
1.016983017,1,0.358429037,4,0,1,0,7,2,3,1
0.06192621900000001,0,2.0,4,0,1,0,8,0,0,0
0.192282052,0,0.099211199,6,0,1,0,5,0,3,0
